"WILAYA","Baladia","latitude","longitude"
"Adrar","Adrar","26.4888155","-1.3582442"
"Adrar","Akabli","26.7133917","1.3691963"
"Adrar","Aoulef","26.9722077","1.0786817"
"Adrar","Bouda","28.010002","-0.426797"
"Adrar","Fenoughil","27.6060965","-0.3021104"
"Adrar","In Zghmir","27.037171","-0.0870205"
"Adrar","Ouled Ahmed Tammi","27.8510411","-0.2812795"
"Adrar","Reggane","26.7207267","0.1751507"
"Adrar","Sali","26.9612527","-0.0251553"
"Adrar","Sebaa","28.2150178","-0.173775"
"Adrar","Tamantit","27.7613334","-0.2657533"
"Adrar","Tamast","27.4237416","-0.2457959"
"Adrar","Tamekten","27.0214579","1.0140877"
"Adrar","Tit","26.9383021","1.4910197"
"Adrar","Tsabit","28.3509683","-0.2161001"
"Adrar","Zaouiet Kounta","27.2300419","-0.1933113"
"Chlef","Abou El Hassen","36.4145938","1.1938241"
"Chlef","Ain Merane","36.175626","0.9723668"
"Chlef","Benairia","36.3536104","1.3750249"
"Chlef","Beni Bouattab","35.9938404","1.6204418"
"Chlef","Beni Haoua","36.5304451","1.5692626"
"Chlef","Beni Rachid","36.2770909","1.5235217"
"Chlef","Boukadir","36.0650746","1.1278681"
"Chlef","Bouzeghaia","36.3389979","1.2380612"
"Chlef","Breira","36.4488016","1.6150342"
"Chlef","Chettia","36.1929178","1.2491044"
"Chlef","Chlef","36.20342","1.2680696"
"Chlef","Dahra","36.2545642","0.8518821"
"Chlef","El Hadjadj","36.0154871","1.3771856"
"Chlef","El Karimia","36.1121742","1.5534446"
"Chlef","El Marsa","36.8091281","3.2546039"
"Chlef","Harchoun","36.1137919","1.5061783"
"Chlef","Harenfa","36.2458302","1.0449847"
"Chlef","Labiodh Medjadja","36.2507309","1.3919112"
"Chlef","Moussadek","36.3536152","1.0084373"
"Chlef","Oued Fodda","36.185966","1.5347489"
"Chlef","Oued Ghoussine","36.5242926","1.4971862"
"Chlef","Oued Sly","36.101565","1.1995738"
"Chlef","Ouled Abbes","35.9138097","5.742386"
"Chlef","Ouled Ben Abdelkader","36.0238897","1.2761855"
"Chlef","Ouled Fares","36.2303457","1.2084133"
"Chlef","Oum Drou","36.1966757","1.3913824"
"Chlef","Sendjas","36.0628381","1.4006069"
"Chlef","Sidi Abderrahmane","36.4929744","1.0940415"
"Chlef","Sidi Akkacha","36.4649578","1.3052519"
"Chlef","Sobha","36.1069315","1.1095344"
"Chlef","Tadjena","36.3233197","1.1387118"
"Chlef","Talassa","36.4257717","1.0936225"
"Chlef","Taougrite","36.2472325","0.9222293"
"Chlef","Tenes","36.5080818","1.3078072"
"Chlef","Zeboudja","36.3540252","1.4302999"
"Laghouat","Aflou","34.11252","2.10029"
"Laghouat","Aïn Madhi","33.797062","2.3059156"
"Laghouat","Ain Sidi Ali","34.2801571","1.8993582"
